,count,mean,std,min,25%,50%,75%,max,%missing,card
case_positive_specimen_interval,10503.0,0.1279634390174236,2.60648330181191,-107.0,0.0,0.0,0.0,73.0,47.485,61
case_onset_interval,8654.0,-0.01629304367922348,1.748509879883723,-52.0,0.0,0.0,0.0,70.0,56.730000000000004,40
